# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -0.0000000000e+00    -5.6395405405e-05
    0.100000    -0.0000000000e+00    -0.0000000000e+00    -2.0580410218e-04
    0.150000    -0.0000000000e+00    -0.0000000000e+00    -3.9584906932e-04
    0.200000    -0.0000000000e+00    -0.0000000000e+00    -5.5965844030e-04
    0.250000    -0.0000000000e+00    -0.0000000000e+00    -6.3807592353e-04
    0.300000    -0.0000000000e+00    -0.0000000000e+00    -5.9774292815e-04
    0.350000    -0.0000000000e+00    -0.0000000000e+00    -4.3902791500e-04
    0.400000    -0.0000000000e+00    -0.0000000000e+00    -1.9212361366e-04
    0.450000    -0.0000000000e+00    -0.0000000000e+00     9.5955137321e-05
    0.500000    -0.0000000000e+00    -0.0000000000e+00     3.7806525432e-04
    0.550000    -0.0000000000e+00    -0.0000000000e+00     6.2173134854e-04
    0.600000    -0.0000000000e+00    -0.0000000000e+00     8.1829749444e-04
    0.650000    -0.0000000000e+00    -0.0000000000e+00     9.8527934326e-04
    0.700000    -0.0000000000e+00    -0.0000000000e+00     1.1627493589e-03
    0.750000    -0.0000000000e+00    -0.0000000000e+00     1.4052589936e-03
    0.800000    -0.0000000000e+00    -0.0000000000e+00     1.7704168317e-03
    0.850000    -0.0000000000e+00    -0.0000000000e+00     2.3048129464e-03
    0.900000    -0.0000000000e+00    -0.0000000000e+00     3.0285394262e-03
    0.950000    -0.0000000000e+00    -0.0000000000e+00     3.9213103755e-03
    1.000000    -0.0000000000e+00    -0.0000000000e+00     4.9151159854e-03
    1.050000    -0.0000000000e+00    -0.0000000000e+00     5.8986832708e-03
    1.100000    -0.0000000000e+00    -0.0000000000e+00     6.7364244504e-03
    1.150000    -0.0000000000e+00    -0.0000000000e+00     7.2993144746e-03
    1.200000    -0.0000000000e+00    -0.0000000000e+00     7.4994219194e-03
    1.250000    -0.0000000000e+00    -0.0000000000e+00     7.3166482929e-03
    1.300000    -0.0000000000e+00    -0.0000000000e+00     6.8076965010e-03
    1.350000    -0.0000000000e+00    -0.0000000000e+00     6.0931636673e-03
    1.400000    -0.0000000000e+00    -0.0000000000e+00     5.3264159001e-03
    1.450000    -0.0000000000e+00    -0.0000000000e+00     4.6541489145e-03
    1.500000    -0.0000000000e+00    -0.0000000000e+00     4.1808119392e-03
    1.550000    -0.0000000000e+00    -0.0000000000e+00     3.9469347710e-03
    1.600000    -0.0000000000e+00    -0.0000000000e+00     3.9262374928e-03
    1.650000    -0.0000000000e+00    -0.0000000000e+00     4.0404042771e-03
    1.700000    -0.0000000000e+00    -0.0000000000e+00     4.1855178426e-03
    1.750000    -0.0000000000e+00    -0.0000000000e+00     4.2615893056e-03
